sid,testname,testcode,price
483,CEA (IHC Marker),LDA10036,1650
484,CEA Fluid (Carcino Embryonic Antigen Body Fluid),LDA10476,1600
485,CEBPA Mutation Detection,LDA10042,6650
486,Cell Block Preparation,LDA10118,500
487,Cell Free DNA /Circulating tumor (Ct)  DNA -  Colon Cancer Panel/ Liquid Bx. Cell Free Comprehensive Colon Cancer Panel,LDA10353,30000
488,"Cell Free DNA /Circulating tumor (Ct)  DNA - BRAF/Liquid Bx. Cell
Free BRAF",LDA10356,14000
489,"Cell Free DNA /Circulating tumor
(Ct)  DNA-  KRAS / Liquid Bx. Cell Free KRAS",LDA10355,14000
490,"Cell Free DNA /Circulating tumor
(Ct)  DNA- PAN RAS  Liquid Bx. Cell Free PAN RAS",LDA10354,"25,000"
491,CeruloplaLDAin,LDA10108,1390
492,Cervical Swab - Culture & Sensitivity Aerobic (Conventional),LDAI10030,650
493,Cervix biopsy - Histopathology LDAall,LDA10020,750
494,Cervix cone - Histopathology medium,LDA10095,1200
495,Champion Health Panel,LDA10187,5500
496,Cheek biopsy - Histopathology LDAall,LDA10043,750
497,Chikungunya IgM Antibody,LDA10014,920
498,Chikungunya PCR,LDA10281,4000
499,"Chile, Urine",LDA10082,630
500,ChimeriLDA by STR (PosttranLDAlant),LDA10227,15000
501,ChimeriLDA by STR (PretranLDAlant),LDA10226,12500
502,"Chlamydia Pneumoniae IgA
Antibody",LDA10434,2600
503,Chlamydia Trachomatis DNA Test - (Hybrid Capture 2),LDA10093,1100
504,"Chlamydia Trachomatis IgA
Antibody",LDA10435,1500
505,Chlamydia Trachomatis IgG,LDA10017,2130
506,Chlamydia Trachomatis IgG & IgM,LDA10006,3850
507,"Chlamydia trachomatis IgG, IgA, IgM",LDA10039,6000
508,Chlamydia Trachomatis IgM,LDA10018,2130
509,Chloride,LDA10058,140
510,"Chloride, 24 Hrs. Urine",LDA10014,250
511,"Chloride, Fluid",LDA10147,140
512,"Chloride, Random Urine",LDA10051,250
513,Cholesterol Total,LDA10022,130
514,"Cholesterol, Fluid",LDA10148,130
515,Cholinesterase,LDA10104,700
516,Chromium Blood,LDA10185,4050
517,Chromogranin A,LDA10172,7000
518,Chromogranin A (IHC Marker),LDA10057,1650
519,"Chromosomal microarray test, by
blood",LDA10456,21600
520,Chromosomal Studies (Fanconi's Anaemia),LDA10008,7900
521,Chromosome Analysis (Genetic Disorders),LDA10002,3200
522,Chromosome Analysis (Hematological Malignancy),LDA10001,3600
523,Chromosome Analysis (Married Couple),LDA10003,6200
524,Chromosome Analysis (POC),LDA10004,6000
525,Chronic myeloproliferative disorder gene panel (CMPD),LDA10488,25000
526,Chymotrypsin Stool,LDA10218,5000
527,Citrate - 24 Hrs. Urine,LDA10040,1070
528,CK 19 (Cytokeratin 19) (IHC Marker),LDA10030,1650
529,CK 20 (Cytokeratin 20) (IHC Marker),LDA10029,1650
530,CK 7 (Cytokeratin 7),LDA10028,1650
531,Ck5/6 (IHC Marker),LDA10106,1650
532,CK8/18 (IHC Marker),LDA10101,1650
533,C-kit by blood sample,LDA10237,5000
534,"Clinical exome + Mitochondrial
genome sequencing (GEFS + Genetic Panel)",LDA10426,40000
535,Clinical Exome Sequencing,LDA10421,30000
536,Clinical Exome sequencing plus CNV,LDA10427,88000
537,CLL Comprehensive & Karyotype Combo,LDA10105,15500
538,CLL Diagnostic Panel (Comprehensive)  (Flowcytometry),LDA10069,11000
539,CLL MRD panel,LDA10108,11500
540,CLL prognosis by FISH,LDA10099,9100
541,"Clopidogrel-PGx Test (CYP2C19
Mutation Analysis)",LDA10020,3050
542,Clotting Time (C.T),LDA10021,190
543,CML Combo quest I,LDA10020,10900
544,CML Combo quest II,LDA10021,10150
545,CML Quest IRMA,LDA10067,9100
546,"CMV Avidity, IgG (Cytomegalovirus
Avidity, IgG)",LDA10136,1210
547,CMV DNA Qualitative PCR,LDA10096,4950
548,CMV DNA Quantitative Real Time- PCR,LDA10097,7700
549,CMV IgG & IgM (Cytomegalovirus IgG & IgM),LDA10149,920
550,CMV IgG (Cytomegalovirus IgG Antibody),LDA10135,490
551,CMV IgM  (Cytomegalovirus IgM Antibody),LDA10134,490
552,CMV IHC,LDA10146,2300
553,Coagulation Profile (Basic),LDA10209,650
554,"Cobalt, 24 Hrs. Urine",LDA10149,4840
555,"Cobalt, Blood",LDA10145,4840
556,"Cobalt, Random Urine",LDA10153,4840
557,"Cocaine Screen, Urine",LDA10005,740
558,Coeliac Disease Profile,LDA10056,5810
559,Colaris,LDA10347,360000
560,"Colon, Rectum - Histopathology LDAall",LDA10052,750
561,Complement Panel (C3 & C4),LDA10106,1700
562,Comprehensive Colorectal Panel,LDA10467,18000
563,Comprehensive Gene Health Check Profile,LDA10117,23000
564,Comprehensive leukemia panel - 57 genes,LDA10408,"21,000"
565,"Congenital Adrenal HypeLDAlasia (CAH) CYP11B1
Deletion/Duplication Testing",LDA10185,24000
566,"Congenital Adrenal HypeLDAlasia
(CAH) CYP11B1 gene mutation",LDA10184,13200
567,"Congenital Adrenal HypeLDAlasia (CAH) CYP21A2
Deletion/Duplication Testing",LDA10183,24000
568,"Congenital Adrenal HypeLDAlasia
(CAH) CYP21A2 gene mutation",LDA10182,10800
569,Congenital afibrinogenemia gene panel,LDA10303,43000
570,Congenital dyserythropoietic anaemia gene panel,LDA10304,43000
571,Congenital hypopituitariLDA gene panel,LDA10301,43000
572,Conjunctival - Histopathology LDAall,LDA10028,750
573,Conjunctival Biopsy Panel - Histopathology,LDA10060,3650
574,"Connexin 30 (GJB6) deletion/duplic
ation analysis",LDA10406,12000
575,"Coomb's Test Direct (Gel
Technology)",LDA10043,500
576,"Coomb's Test Indirect (Gel
Technology)",LDA10044,500
577,"Copper, 24 Hrs. Urine",LDA10150,1980
578,"Copper, Random Urine",LDA10154,1980
579,"Copper, Serum",LDA10142,1980
580,Cortisol (Evening Sample),LDA10074,490
581,Cortisol (Morning & Evening Sample),LDA10075,970
582,Cortisol (Morning Sample),LDA10073,490
583,"Cortisol Free, 24 Hrs. Urine",LDA10028,970
584,Couple Sure (Panethnic Carrier Screening),LDA10442,48000
585,Covid-19 IgG Antibody (SARS-CoV-2,LDA10506,1450
586,COVID-19 RTPCR,G23S07T60,1200
587,Coxsackie IgG antibody,LDA10371,3850
588,Coxsackie IgM antibody,LDA10372,3850
589,CPK - MB (Creatinine PhoLDAhokinase MB Isoenzyme),LDA10081,400
590,"CPK -Total (Creatinine
PhoLDAhokinase Total)",LDA10080,330
591,CRC Protect,LDA10392,22500
592,Creatinine Clearance Test,LDA10031,500
593,"Creatinine, 24Hrs.Urine",LDA10011,250
594,"Creatinine, Fluid",LDA10149,130
595,"Creatinine, Random Urine",LDA10053,200
596,"Creatinine, Serum",LDA10054,130
597,"Creatinine/e Glomerular Filteration
Rate",LDA10069,190
598,"CLDA (C-Reactive Protein)-
Qualitative",LDA10084,380
599,"CLDA, Immunoturbidimetry
(Quantitative)",LDA10156,700
600,"CLDA, Nephelometry (Quantitative)",LDA10089,700
601,"Cryoglobulins Screening
(Qualitative)",LDA10126,1450
602,Cryptococcus Antigen,LDA10179,2420
603,"Cryptococcus Antigen, CLDA",LDA10113,2640
604,"CryptoLDAoridium IsoLDAora, Stool",LDA10107,370
605,CLDA - AFB Culture Rapid,LDAI10195,1000
606,CLDA - Culture & Sensitivity Aerobic (Automated),LDAI10053,1050
607,"CLDA - Culture & Sensitivity Aerobic
(Conventional)",LDAI10008,650
608,CLDA - Culture & Sensitivity Anaerobic (Conventional),LDAI10079,1050
609,CLDA - Fungus Culture,LDAI10136,1000
610,CLDA Examination for Malignant Cells,LDA10004,550
611,CLDA Examination Routine,LDA10109,660
612,"ct DNA for Hot LDAot mutations in EGFR, KRAS, NRAS, BRAF",LDA10411,29000
613,"Ctx-1 (Beta Crosslaps) OSTEOPOROSIS MONITORING,
Serum",LDA10180,2420
614,Culture - Gonococcus,LDAI10260,950
615,Culture & Sensitivity Aerobic (Automated) - Ascitic Fluid,LDAI10047,1050
616,Culture & Sensitivity Aerobic (Automated) - Body fluids Culture,LDAI10054,1050
617,Culture & Sensitivity Aerobic (Automated) - Ocular Fluid,LDAI10052,1050
618,Culture & Sensitivity Aerobic (Automated) - Pericardial Fluid,LDAI10050,1050
619,Culture & Sensitivity Aerobic (Automated) - Peritoneal Fluid,LDAI10049,1050
620,Culture & Sensitivity Aerobic (Automated) - Pleural Fluid,LDAI10048,1050
621,Culture & Sensitivity Aerobic (Automated) - Synovial Fluid,LDAI10051,1050
622,Culture & Sensitivity Aerobic (Automated) - Whole Blood,LDAI10046,1000
623,"Culture & Sensitivity Aerobic
(Conventional) - Ascitic Fluid",LDAI10002,650
624,"Culture & Sensitivity Aerobic
(Conventional) - Axillary swab",LDAI10035,650
625,Culture & Sensitivity Aerobic (Conventional) - BAL,LDAI10015,650
626,Culture & Sensitivity Aerobic (Conventional) - Body Fluids,LDAI10033,650
627,"Culture & Sensitivity Aerobic
(Conventional) - Bone Marrow",LDAI10024,950
628,"Culture & Sensitivity Aerobic
(Conventional) - Cervical Swab",LDAI10030,650
629,"Culture & Sensitivity Aerobic
(Conventional) - CLDA",LDAI10008,650
630,"Culture & Sensitivity Aerobic
(Conventional) - Ear Swab",LDAI10010,650
631,"Culture & Sensitivity Aerobic
(Conventional) - ET secretion",LDAI10032,650
632,"Culture & Sensitivity Aerobic
(Conventional) - Eye Swab",LDAI10011,650
633,"Culture & Sensitivity Aerobic
(Conventional) - Groin Swab",LDAI10034,650
634,Culture & Sensitivity Aerobic (Conventional) - Miscellaneous,LDAI10025,650
635,"Culture & Sensitivity Aerobic
(Conventional) - Nasal Swab",LDAI10012,650
636,"Culture & Sensitivity Aerobic
(Conventional) - Ocular Fluid",LDAI10007,650
637,Culture & Sensitivity Aerobic (Conventional) - OT-LDAECIMEN,LDAI10037,650
638,"Culture & Sensitivity Aerobic
(Conventional) - Pericardial Fluid",LDAI10005,650
639,Culture & Sensitivity Aerobic (Conventional) - Peritoneal Fluid,LDAI10004,650
640,Culture & Sensitivity Aerobic (Conventional) - Pleural Fluid,LDAI10003,650
641,Culture & Sensitivity Aerobic (Conventional) - Pus,LDAI10013,650
642,"Culture & Sensitivity Aerobic
(Conventional) - Secretions",LDAI10018,650
643,Culture & Sensitivity Aerobic (Conventional) - Semen,LDAI10019,650
644,"Culture & Sensitivity Aerobic
(Conventional) - LDAutum",LDAI10014,650
645,"Culture & Sensitivity Aerobic
(Conventional) - Stool",LDAI10027,650
646,Culture & Sensitivity Aerobic (Conventional) - Synovial Fluid,LDAI10006,650
647,Culture & Sensitivity Aerobic (Conventional) - Throat Swab,LDAI10020,650
648,"Culture & Sensitivity Aerobic
(Conventional) - Tissue",LDAI10026,650
649,Culture & Sensitivity Aerobic (Conventional) - Urethral Swab,LDAI10028,650
650,Culture & Sensitivity Aerobic (Conventional) - Urine,LDAI10021,500
651,Culture & Sensitivity Aerobic (Conventional) - Vaginal Swab,LDAI10022,650
652,"Culture & Sensitivity Aerobic
(Conventional) - Wound Swab",LDAI10029,650
653,Culture & Sensitivity Aerobic (Conventional) - Aqueous/vitreous/lachrymal fluid,LDAI10016,650
654,Culture & Sensitivity Aerobic (Conventional) -ALDAirates,LDAI10017,650
655,Culture & Sensitivity Anaerobic (Automated) -Bone Marrow,LDAI10084,1050
656,Culture & Sensitivity Anaerobic (Conventional) - Miscellaneous,LDAI10083,1050
657,Culture & Sensitivity Anaerobic (Conventional) - Ocular Fluid,LDAI10078,1050
658,Culture & Sensitivity Anaerobic (Conventional) - Pericardial Fluid,LDAI10076,1050
659,Culture & Sensitivity Anaerobic (Conventional) - Peritoneal Fluid,LDAI10075,1050
660,Culture & Sensitivity Anaerobic (Conventional) - Pleural Fluid,LDAI10074,1050
661,Culture & Sensitivity Anaerobic (Conventional) - Pus,LDAI10080,1050
662,Culture & Sensitivity Anaerobic (Conventional) - Synovial Fluid,LDAI10077,1050
663,Culture & Sensitivity Anaerobic (Conventional) -Ascitic Fluid,LDAI10073,1050
664,Culture & Sensitivity Anaerobic (Conventional) -ALDAirates,LDAI10081,1050
665,Culture & Sensitivity Anaerobic (Conventional) -Body fluids,LDAI10082,1050
666,Culture & Sensitivity Anaerobic (Conventional) -CLDA,LDAI10079,1050
667,"Culture, Identification and sensitivity - Vitek",LDAI10241,2300
668,Cultured Bacteria Identification & Sens.,LDAI10023,1050
669,"Cultured Candida LDAecies
Identification",LDAI10162,750
670,"Customized (Any 5 Markers) Panel
(Flowcytometry)",LDA10080,4250
671,"Customized (Any 7 Markers) Panel
(Flowcytometry)",LDA10079,6050
672,"Cy.IgM, B-Cell Markers,
Flowcytometry",LDA10024,1850
673,Cy.MPO     (Flowcytometry),LDA10040,1850
674,Cyclin D1 (IHC Marker),LDA10050,1650
675,"CycloLDAora, MicroLDAoridia, stool",LDA10213,370
676,CycloLDAorine (C2),LDA10014,2660
677,CycloLDAorine (C2),LDA10015,2660
678,Cyfra 21.1 (Lung Cancer),LDA10163,4000
679,"Cysticercosis (Anti Taenia Solium
IgG)",LDA10230,1210
680,"Cysticercus (Taenia Solium) IgG Antibody, CLDA",LDA10462,2250
681,Cytology - Slides (Duplicate) Issue,LDA10017,200
682,"CytoplaLDAic CD3, T-Cell Markers, Flowcytometry",LDA10008,1850
683,"CytoplaLDAic IGM  (Cyt. IgM) -
Flowcytometry",LDA10041,1850
684,"CytoplaLDAic Kappa, B-Cell Markers - Flowcytometry",LDA10022,1850
685,"CytoplaLDAic Lambda, B-Cell Markers - Flowcytometry",LDA10023,1850
686,D Dimer,LDA10065,1090
687,D2-40 (IHC Marker),LDA10104,1650
688,del11q and del17p,LDAI10045,5000
689,del13q and CEP12,LDAI10046,5000
690,del13q by FISH,LDAI10016,4100
691,del17p by FISH,LDAI10015,4100
692,del20q by FISH,LDAI10013,4100
693,del5q (Monosomy 5) by FISH,LDAI10012,4250
694,del7q (Monosomy 7) by FISH,LDAI10011,4250
695,Deletion 8p FGFR-1 by FISH,LDA10269,6600
696,Dengue Fever Antibodies,LDA10012,1710
697,Dengue Fever Antibody IgM,LDA10377,1100
698,Dengue Fever -NS1 Antigen,LDA10076,1700
699,Dengue RNA PCR,LDA10066,3500
700,DeLDAin  (IHC Marker),LDA10056,1650
701,DeLDAglein I IgG Ab,LDA10302,3630
702,DeLDAglein III IgG Ab,LDA10303,3630
703,"dexamethasone Suppr Test For
Cortisol",LDA10401,1680
704,"DHEA (De Hydro EPI Andro Sterone
)",LDA10058,3650
705,"DHEA Sulphate (De Hydro EPI Andro Sterone SULPHATE), DHEAS",LDA10059,1090
706,"DI - HYDRO TESTOSTERONE (DHT),
Serum
5a - DHT, Serum
5 - ALPHA DI - HYDRO TESTOSTERONE, Serum",LDA10068,3870
707,Diabetes Profile ( Basic),LDA10011,450
708,Diabetes Profile (Comprehensive),LDA10072,1320
709,Diagnostic ALCP & MRD Panel,LDA10104,19250
710,Diamond blackfan anaemia gene panel,LDA10305,43000
711,"Diazepam Screen, Random Urine",LDA10023,740
712,DIC Panel (Disseminated Intravascular coagulation  Panel),LDA10494,3170
713,Differential Leukocyte Count (DLC),LDA10129,130
714,DiGeorge Syndrome by FISH,LDAI10042,5500
715,Digoxin (Lanoxin),LDA10017,920
716,"DihydropyLDAidine Dehydrogenase
(DPD)",LDA10043,8000
717,"DLC, Fluid (Differential Leukocyte
Count Body Fluid)",LDA10145,130
718,DNA Extraction & Storage,LDA10385,1000
719,DNA Genetic Cancer Risk Test (98 gene panel),LDA10391,20000
720,"DNA Ploidy & S- Phase, Leukaemia
(Flowcytometry)",LDA10054,2400
721,"DNA Ploidy & S- Phase, Solid Tumours (Flowcytometry)",LDA10053,2400
722,DOG -1 (IHC Marker),LDA10083,1650
723,Dopamine,LDA10181,6660
724,"DPT Antibodies, Serum",LDA10381,8500
725,Drug Of Abuse  Panel -5,LDA10020,3630
726,Drug Of Abuse Panel-5,LDA10019,3630
727,Drug Of Abuse Panel-7,LDA10018,5080
728,Drugs of Abuse- Hair,LDA10486,3850
729,"Dual marker on DBS (Dried Blood
LDAot)",LDA10449,3300
730,Dual Test (1st TLDAester),LDA10114,2150
731,"Duchenne Muscular Dystrophy
(DMD) by NGS",LDA10372,32000
732,Duodenum - Histopathology LDAall,LDA10055,750
733,"DYLDAERLINOPATHY/LGMD2B (DYLDA)DELETION/DUPLICATION
ANALYSIS",LDA10429,14000
734,Dyskeratosis congenita gene panel,LDA10306,43000
735,E cadherin (IHC Marker),LDA10087,1650
736,E2 (Estradiol),LDA10053,610
737,E2A/PBX1 t(1;19) by FISH,LDAI10053,4250
738,"Ear Swab - Culture & Sensitivity
Aerobic (Conventional)",LDAI10010,650
739,Ear Swab - Fungus Culture,LDAI10151,1000
740,EBV   (IHC Marker),LDA10094,1650
741,"EBV DNA, Qualitative PCR",LDA10064,5500
742,"EBV DNA, Quantitative PCR",LDA10107,9100
743,Ectodermal dyLDAlasia gene panel,LDA10405,30000
744,EGFR  (IHC Marker),LDA10074,1650
745,EGFR by FISH,LDAI10008,10900
746,EGFR Cell Free DNA /Circulating tumor,LDA10290,12600
747,"EGFR Mutation Analysis By ARMS PCR  for
Stratifying patients with NSCLC",LDA10088,9500
748,EGFR Mutation Analysis for Stratifying patients with NSCLC,LDA10071,9350
749,"Electrolytes, Random Urine",LDA10074,450
750,"Electrolytes, Serum",LDA10005,400
751,"ELECTRON MICROSCOPY – TISSUE
–Kidney or Muscle biopsy",LDA10126,12000
752,EMA (Epithelial Membrane Antigen) (IHC Marker),LDA10063,1650
753,"ENA (Screen)Panel Qualitative (Extractable Nuclear Antigen Screen
Panel Qualitative)",LDA10030,2180
754,"ENA Panel (Comprehensive) - Quantitative -Extractable Nuclear
Antigen Comprehensive",LDA10031,9460
755,Endometrial Curetting - Fungus Culture,LDAI10149,1000
756,Endometrial Curetting's - AFB Culture Rapid,LDAI10190,1000
757,Endometrium - Histopathology LDAall,LDA10019,750
758,"Endometrial receptivity Analysis
(ERA)",LDA10148,17500
759,Endoscopic Biopsies - Histopathology LDAall,LDA10021,750
760,Eosinophilic Leukaemia Panel by FISH,LDAI10052,12000
761,"Epidermal Antibody, IgG (Pemphigus)",LDA10234,2660
762,Epidermolysis bullosa gene panel,LDA10441,30000
763,Epididymal Biopsy - Histopathology LDAall,LDA10035,750
764,EPO (Erythropoietin),LDA10045,2420
765,"Epstein Barr Virus IgG (Viral Capsid
Ag)",LDA10033,2180
766,"Epstein Barr Virus IgM (Viral Capsid
Ag)",LDA10032,2180
767,ER (Estrogen Receptor),LDA10001,1650
768,"ER (Estrogen Receptor), PR (Progesterone Receptor), Her2/neu
/ Breast Cancer Prognosis Panel (1B)  (IHC Marker)",LDA10043,3000
769,Esophagectomy - Histopathology radical,LDA10099,2400
770,"ESR (Westergren's)-Erythrocyte
Sedimentation Rate",LDA10012,100
771,Estrone,LDA10195,8400
772,ET secretion - Culture & Sensitivity Aerobic (Conventional),LDAI10032,650
773,ET secretion - Fungus Culture,LDAI10145,1000
774,Excision Biopsies - Histopathology medium,LDA10089,1200
775,"Extended RAS Reflex Panel (exons 2,3,4 of KRAS & NRAS)",LDA10131,13200
776,"Extended RAS Testing (exons 2,3,4 of KRAS & NRAS)",LDA10130,15400
777,Extended RAS Testing by ARMS PCR (K & NRAS),LDA10210,14300
778,"Eye Swab - Culture & Sensitivity
Aerobic (Conventional)",LDAI10011,650
779,Eye Swab - Fungus Culture,LDAI10152,1000
780,Eyeball Tumors - Histopathology radical,LDA10116,2400
781,Eyeball-Non Tumorous - Histopathology medium,LDA10081,1200
782,Fabry disease (GLA) gene analysis,LDA10297,43000
783,Factor II Functional,LDA10086,9680
784,Factor IX Functional,LDA10090,3030
785,Factor V Functional,LDA10087,4600
786,Factor V Leiden mutation,LDA10099,3000
787,Factor VII Functional,LDA10088,4240
788,Factor VIII Assay,LDA10089,2420
789,Factor X Assay,LDA10091,6050
790,Factor XI Functional,LDA10092,4240
791,Factor XII Functional,LDA10093,4240
792,Factor XIII Functional,LDA10094,600
793,Faecal Calprotectin,LDA10193,4600
794,Faecal Elastase,LDA10217,7000
795,Fallopian Tubes - Histopathology LDAall,LDA10025,750
796,"Fanconi Anaemia DNA Mutation
Analysis",LDA10419,10500
797,Fanconi anaemia gene panel,LDA10431,30000
798,Fanconi bickel syndrome (SLC2A2) gene analysis,LDA10308,43000
799,Fatty Acid Oxidation Disorders Gene Panel,LDA10402,38000
800,Ferritin,LDA10294,600
801,Fever Panel (Basic),LDA10026,560
802,Fever Panel Comprehensive,LDA10170,2540
803,Fever Panel: Multiplex PCR,LDA10169,7200
804,FGF 23,LDA10492,"4,100"
805,Fibrinogen Degradation Products (FDP),LDA10064,1320
806,"Fibrinogen, Clotting Activity",LDA10103,1100
807,Fibroids - Histopathology large,LDA10002,1800
808,Fibroids-Enucleated - Histopathology medium,LDA10091,1200
809,Filarial (W. Bancrofti) Antigen,LDA10042,1320
810,Filarial Antibody,LDA10027,1200
811,Final Diagnosis Panel by IHC,LDA10100,6500
812,FIP1 L1 -PDGFRa  RTPCR,LDA10006,5450
813,"FISH - Alk/NPM1;t(2;5) Anaplastic Large Cell Lymphoma, Bone
marrow by FISH",LDAI10054,5600
814,"FISH - Alk/NPM1;t(2;5) Anaplastic
Large Cell Lymphoma, Tissue / FFPE by FISH",LDAI10055,11500
815,FISH - del13q,LDAI10016,4100
816,FISH - del17p,LDAI10015,4100
817,FISH - Her2/neu,LDAI10007,10500
818,FISH - Inv(16),LDAI10050,4500
819,FISH - MDS in-situ,LDA10092,9700
820,"FISH - MLL Gene Break apart
Rearrangement",LDAI10006,4500
821,FISH - PML/RARA,LDAI10002,4850
822,FISH - ROS gene Rearrangement,LDAI10021,9900
823,FISH - t(11;14),LDAI10018,4100
824,FISH - t(11;22) for Ewings Sarcoma,LDA10010,7850
825,FISH - t(14;16),LDAI10019,4100
826,FISH - t(4;14),LDAI10017,4100
827,FISH - TEL/AML1,LDAI10005,4500
828,FISH - Trisomy 8,LDAI10014,4250
829,"FISH - X,Y ChimeriLDA Screening",LDAI10020,4850
830,FISH by AML Panel,LDA10128,10000
831,FISH for Synovial Sarcoma,LDAI10059,8250
832,FISH- Lymphoma Panel,LDAI10065,12000
833,FISH- MET gene Amplification,LDAI10022,9900
834,"FISH- Multiple Myeloma FISH on
enriched PlaLDAa cells",LDAI10062,10500
835,FISH-Eosinophilic Leukaemia Panel,LDAI10052,12000
836,Fistula in ano - Histopathology LDAall,LDA10026,750
837,Fistula/Sinus Lymph Node - Histopathology medium,LDA10080,1200
838,Fistulectomy - Histopathology LDAall,LDA10036,750
839,Fitness Gene Profile,LDA10119,8000
840,Fitness Health Package,LDA10071,3400
841,Fli - 1  (IHC Marker),LDA10082,1650
842,"Flowcytometry -  CytoplaLDAic Kappa, B-Cell Markers",LDA10022,1850
843,Flowcytometry - Acute Leukaemia- MRD Panel,LDA10075,11500
844,Flowcytometry - ALL Characterization Panel,LDA10068,9100
845,Flowcytometry - AML Characterization Panel,LDA10067,9300
846,"Flowcytometry - CD 34quest (stem
cells) (Ishage Gating)",LDA10078,2400
847,"Flowcytometry - CD10 (CALLA), B-
Cell Markers,",LDA10010,1850
848,Flowcytometry - CD103,LDA10047,1850
849,Flowcytometry - CD117,LDA10036,1850
850,Flowcytometry - CD11c,LDA10030,1850
851,Flowcytometry - CD13,LDA10044,1850
852,"Flowcytometry - CD13, Myeloid /
Monocytic Markers,",LDA10025,1850
853,Flowcytometry - CD138,LDA10050,1850
854,"Flowcytometry - CD14, Myeloid / Monocytic Markers,",LDA10026,1850
855,"Flowcytometry - CD15, Myeloid / Monocytic Markers,",LDA10028,1850
856,Flowcytometry - CD16,LDA10046,1850
857,Flowcytometry - CD19,LDA10043,1850
858,"Flowcytometry - CD19, B-Cell
Markers,",LDA10011,1850
859,"Flowcytometry - CD19+ZAP-70, B-
Cell Markers, y",LDA10020,2750
860,"Flowcytometry - CD1a, T-Cell Markers, Flowcytometry",LDA10001,1850
861,"Flowcytometry - CD2, T-Cell
Markers,",LDA10002,1850
862,"Flowcytometry - CD20, B-Cell
Markers,",LDA10012,1850
863,"Flowcytometry - CD22,B-Cell
Markers,",LDA10013,1850
864,"Flowcytometry - CD23,B-Cell
Markers,",LDA10015,1850
865,"Flowcytometry - CD3, T-Cell
Markers,",LDA10003,1850
866,"Flowcytometry - CD33, Myeloid /
Monocytic Markers,",LDA10029,1850
867,Flowcytometry - CD34,LDA10032,1850
868,Flowcytometry - CD38,LDA10045,1850
869,"Flowcytometry - CD4,  T-Cell
Markers,",LDA10004,1850
870,"Flowcytometry - CD4/ CD8
Enumeration",LDA10076,1950
871,Flowcytometry - CD45,LDA10033,1850
872,"Flowcytometry - CD5,T-Cell
Markers,",LDA10005,1850
873,Flowcytometry - CD61,LDA10034,1850
874,Flowcytometry - CD64,LDA10035,1850
875,"Flowcytometry - CD7, T-Cell
Markers,",LDA10006,1850
876,"Flowcytometry - CD8,  T-Cell
Markers,",LDA10007,1850
877,Flowcytometry - CLL Diagnostic Panel (Comprehensive),LDA10069,11000
878,"Flowcytometry - Customized (Any 5
Markers) Panel",LDA10080,4250
879,"Flowcytometry - Customized (Any 7
Markers) Panel",LDA10079,6050
880,"Flowcytometry - Cy.IgM, B-Cell
Markers,",LDA10024,1850
881,"Flowcytometry - CytoplaLDAic CD3, T- Cell Markers,",LDA10008,1850
882,"Flowcytometry - CytoplaLDAic IGM
(Cyt. IgM)",LDA10041,1850
883,"Flowcytometry - CytoplaLDAic Lambda, B-Cell Markers",LDA10023,1850
884,Flowcytometry - CytoplaLDAic MPO,LDA10040,1850
885,"Flowcytometry - DNA Ploidy & S-
Phase, Leukaemia",LDA10054,2400
886,"Flowcytometry - DNA Ploidy & S-
Phase, Solid Tumours",LDA10053,2400
887,"Flowcytometry - FMC-7, B-Cell
Markers,",LDA10017,1850
888,Flowcytometry - Glycophorin A,LDA10039,1850
889,"Flowcytometry - Hairy Cell
Leukaemia Panel",LDA10073,4850
890,"Flowcytometry - Helper CD4 Cells
Enumeration",LDA10077,950
891,Flowcytometry - HLA B-27,LDA10056,1850
892,"Flowcytometry - HLA-DR
Flowcytometry",LDA10038,1850
893,"Flowcytometry - Kappa Light Chain, B-Cell Markers,",LDA10018,1850
894,"Flowcytometry - Lambda Light Chain, B-Cell Markers",LDA10019,1850
895,"Flowcytometry - Leukaemia Lymphoma Comprehensive
Diagnosis Panel",LDA10088,12100
896,Flowcytometry - Leukaemia Orientation panel,LDA10089,7150
897,Flowcytometry - Lymphoma Diagnostic Panel,LDA10072,11200
898,Flowcytometry - MDS evaluation panel,LDA10106,12000
899,"Flowcytometry - Multiple Myeloma
Panel",LDA10074,5150
900,"Flowcytometry - PNH
Comprehensive Work Up",LDA10084,4850
901,"Flowcytometry - PNH Diagnostic
Panel (PolymoLDAhs)",LDA10071,3050
902,"Flowcytometry - PNH Diagnostic
Panel(LDAs)",LDA10070,3050
903,Flowcytometry - PNH With  Flaer,LDA10083,3650
904,"Flowcytometry - T B NK cell
lymphocytes subset analysis",LDA10096,3700
905,Flowcytometry - TdT,LDA10037,1850
906,Flowcytometry - ZAP 70,LDA10049,2200
907,"Flowcytometry Absolute CD19
count",LDA10060,2000/-
908,"Flowcytometry Absolute CD20
count",LDA10061,2000/-
909,Flowcytometry Acute Leukaemia - Basic lineage,LDA10066,6650
910,Flowcytometry- Acute Leukaemia Comprehensive Diagnosis- 20  or ALCD- 20,LDA10065,9900
911,Flowcytometry- Basic CLL Screening Panel,LDA10103,7700
912,Flowcytometry- CLL MRD panel,LDA10108,11500
913,Flowcytometry- Diagnostic ALCP & MRD Panel,LDA10104,19250
914,"Flowcytometry for LAD (Leucocyte
Adhesion Deficiency)",LDA10151,4500
